"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0018","0.0021","0.0019","0.0023","0.003","0.0043","0.005","0.0055","0.0062","0.0057","0.0087","0.0096","0.0106","0.0118","0.0136","0.0144","0.0163","0.0187","0.0201","0.0296","0.0613","0.0711","0.0799","0.0822","0.0943","0.1044","0.0692","0.1198","0.1249","0.1289","0.0996","0.0982","0.1027","0.1156","0.1167","0.1314","0.1459","0.1571","0.1601","0.1762","0.1793","0.1042","0.1319","0.1464","0.1602","0.1692","0.1748","0.169","0.1664","0.1883","0.1658","0.1727","0.1827","0.1851","0.1904","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","39.4885","39.4885","40.876","42.6196","40.1984","42.7828","40.574","39.4887","41.0652","36.8802","38.36","39.0435","38.5638","38.6682","40.1554","39.8548","40.1732","41.3905","44.5915","44.7066","47.255","46.3679","47.2868","46.2258","48.5874","53.1661","52.8939","54.7501","54.6492","56.1041","56.2544","58.6762","60.551","64.3917","68.7559","71.2468","75.0643","81.3454","83.2291","83.4224","87.9323","93.9714","98.6896","108.4062","108.3889","114.8105","116.6012","119.3298","122.598","123.8772","108.6282","122.9773","126.9431","127.844","126.023","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.2424","0.2424","0.2643","0.252","0.2448","0.2839","0.2571","0.285","0.3025","0.3264","0.3321","0.3935","0.395","0.5466","0.5375","0.6901","0.5752","0.6735","0.6406","0.6052","0.9393","0.9112","0.5573","0.5542","0.5452","0.4363","0.4161","0.4019","0.3739","0.3632","0.2176","0.2222","0.1802","0.2491","0.2138","0.3562","0.4654","0.4996","1.3119","2.4245","3.3078","4.4503","3.902","2.6357","1.9478","2.4039","1.7291","2.8207","4.0595","4.1901","4.4436","4.5403","4.049","4.09","4.3071","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","7.202","7.202","8.0192","8.8502","9.3004","10.7132","12.7923","16.1178","18.6609","18.6213","20.922","21.8925","23.0266","23.2643","21.7499","21.5043","21.1952","20.7546","22.5519","23.0426","20.4725","23.9985","27.8999","25.2579","22.1602","24.8279","28.0142","33.3234","30.1803","32.5246","34.5431","39.6594","42.1124","44.0797","45.7444","45.1389","41.5412","40.8885","46.7723","48.1206","55.2474","58.879","65.2114","76.5806","81.5032","79.7185","88.6815","88.6307","96.0947","101.8084","95.1009","106.3334","111.5267","107.9158","111.9837","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.0262","1.0262","1.7155","1.4475","1.3019","1.0984","1.107","0.6488","1.333","1.0552","0.9961","0.8719","0.8559","0.7771","0.7024","1.0394","1.0261","1.042","1.2429","1.304","1.0165","1.2574","1.187","1.2119","1.541","1.0709","0.988","1.0521","0.8342","1.1566","1.0745","1.2045","1.4808","2.7543","3.4525","2.4766","3.2932","3.8961","5.2039","5.7572","5.6836","6.2762","6.7414","7.6988","7.9394","7.983","7.9134","6.7212","6.9462","7.9339","3.8998","7.09","8.2998","8.5627","8.6863","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.726","0.726","0.7795","0.7871","0.8274","0.8584","1.0009","1.0351","1.1214","1.2618","1.4806","0.8215","0.8546","0.9336","1.3201","1.0792","1.0121","1.0457","1.1524","0.9572","0.7094","0.5367","0.4093","0.5073","0.6355","0.6275","0.6208","0.4928","0.7394","1.4057","1.4712","1.5466","1.7724","1.9221","2.3065","2.3811","1.9243","2.1045","2.2921","2.3135","2.2415","2.3554","2.2616","2.466","2.4786","2.45","2.302","2.3118","2.2073","2.1869","1.5325","1.7487","1.6681","1.5301","1.551","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","24.716","24.716","28.3552","31.1107","34.4995","37.9517","43.7134","51.397","63.5301","71.6879","79.8679","92.8571","104.0226","119.4567","127.186","133.3989","130.698","138.6551","146.5212","153.2379","154.8428","156.4441","170.2573","177.3435","184.7537","181.023","187.5739","191.2075","196.5559","200.2284","208.474","215.445","226.041","230.5076","243.6627","260.8085","276.2303","295.6429","316.7947","334.2506","352.4067","367.4747","396.969","405.0521","418.6408","422.853","433.3532","436.3504","435.888","433.3913","391.0152","425.209","443.8459","458.7707","474.2043","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.4057","0.4057","0.5419","0.7705","1.0106","1.6505","2.1776","2.2896","2.5551","3.2988","6.9656","8.1889","9.0815","9.2836","9.8227","9.416","9.3851","10.1372","10.4773","10.8177","11.2891","11.6186","11.806","12.6036","12.4849","13.1051","13.2675","13.2036","13.1867","13.5698","14.8515","16.2836","18.7692","20.8637","21.0671","22.7475","23.924","24.5864","26.1621","28.7946","30.0559","30.0847","30.7616","34.6715","35.5773","30.881","34.6297","37.6607","37.6693","35.7784","30.7091","34.022","35.5882","36.898","38.4366","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","23.6034","23.6034","24.9782","25.528","25.9163","24.4292","24.6264","26.0888","26.6111","28.6913","29.7014","29.4984","29.8857","30.0023","29.4353","27.22","28.255","28.9874","27.4774","27.5606","28.3437","29.9656","32.0013","34.2761","33.7871","35.2107","40.9995","40.9677","43.5938","40.9665","39.8377","36.6253","33.8385","34.558","37.1677","37.7144","40.5477","43.8822","45.8478","42.021","44.1992","45.6703","44.8214","47.736","44.0604","46.2782","45.2497","46.4311","47.7877","47.4694","37.3876","45.9441","50.9501","51.5207","47.8892","",
