"Year","Anhydrous ethanol use","Hydrous ethanol use","Total"
"1975","0.3","0.4","0.7"
"1976","0.3","0.4","0.6"
"1977","0.3","0.4","0.7"
"1978","1.4","0.3","1.7"
"1979","2.4","0.4","2.9"
"1980","3.1","0.7","3.9"
"1981","2.4","1.8","4.2"
"1982","1.7","3.1","4.7"
"1983","4.1","2.5","6.6"
"1984","2.9","5.9","8.8"
"1985","2.4","7.8","10.2"
"1986","3.7","9.5","13.2"
"1987","2.5","9.1","11.6"
"1988","2.3","10.4","12.7"
"1989","2.1","10.9","12.9"
"1990","2.6","11.5","14.1"
"1991","2.4","11.2","13.6"
"1992","2.3","11.8","14.1"
"1993","2.9","10.4","13.3"
"1994","4.0","9.6","13.6"
"1995","4.6","10.8","15.4"
"1996","4.3","10.5","14.8"
"1997","5.8","10.7","16.5"
"1998","6.5","10.7","17.1"
"1999","6.1","9.0","15.1"
"2000","6.9","7.5","14.4"
"2001","6.3","5.4","11.7"
"2002","7.5","5.6","13.0"
"2003","7.3","6.1","13.4"
"2004","7.5","6.4","14.0"
"2005","6.6","7.8","14.4"
"2006","5.4","8.5","13.9"
"2007","5.2","10.8","16.0"
"2008","3.6","15.7","19.3"
"2009","7.0","19.9","26.9"
"2010","6.1","20.4","26.5"
"2011","8.7","20.9","29.6"
"2012","7.0","15.5","22.5"
"2013","8.2","14.7","22.8"
"2014","13.0","16.7","29.7"
"2015","14.0","20.4","34.4"
"2016","14.0","23.0","37.0"
"2017","15.8","19.2","35.0"
"2018","15.4","20.0","35.4"
"2019","14.6","27.8","42.4"
"2020","13.1","29.3","42.4"
"2021","11.9","25.4","37.3"
"2022","13.3","20.2","33.6"
"Total","291.7","537.0","828.7"
