Entity,Code,Year,Biofuels
Africa,OWID_AFR,1990,0.3051023
Africa,OWID_AFR,1991,0.3051023
Africa,OWID_AFR,1992,0.30529028
Africa,OWID_AFR,1993,0.068616726
Africa,OWID_AFR,1994,0.068616726
Africa,OWID_AFR,1995,0.068616726
Africa,OWID_AFR,1996,0.06880471
Africa,OWID_AFR,1997,0.102925085
Africa,OWID_AFR,1998,0.102925085
Africa,OWID_AFR,1999,0.068616726
Africa,OWID_AFR,2000,0.06880471
Africa,OWID_AFR,2001,0.068616726
Africa,OWID_AFR,2002,0.24095866
Africa,OWID_AFR,2003,0.251716
Africa,OWID_AFR,2004,0.28782013
Africa,OWID_AFR,2005,0.2943336
Africa,OWID_AFR,2006,0.35644424
Africa,OWID_AFR,2007,0.3456951
Africa,OWID_AFR,2008,0.37789974
Africa,OWID_AFR,2009,0.5937582
Africa,OWID_AFR,2010,0.8238055
Africa,OWID_AFR,2011,1.1333025
Africa,OWID_AFR,2012,1.0127013
Africa,OWID_AFR,2013,1.3421129
Africa,OWID_AFR,2014,1.478777
Africa,OWID_AFR,2015,1.3343786
Africa,OWID_AFR,2016,1.2191871
Africa,OWID_AFR,2017,1.1253604
Africa,OWID_AFR,2018,0.8885908
Africa,OWID_AFR,2019,0.9744526
Africa,OWID_AFR,2020,0.9650717
Africa,OWID_AFR,2021,0.9954881
Africa,OWID_AFR,2022,1.0745708
Africa,OWID_AFR,2023,1.1433736
Africa,OWID_AFR,2024,1.148281
Africa (EI),,1990,0.3051023
Africa (EI),,1991,0.3051023
Africa (EI),,1992,0.30529028
Africa (EI),,1993,0.068616726
Africa (EI),,1994,0.068616726
Africa (EI),,1995,0.068616726
Africa (EI),,1996,0.06880471
Africa (EI),,1997,0.102925085
Africa (EI),,1998,0.102925085
Africa (EI),,1999,0.068616726
Africa (EI),,2000,0.06880471
Africa (EI),,2001,0.068616726
Africa (EI),,2002,0.24095866
Africa (EI),,2003,0.251716
Africa (EI),,2004,0.28782013
Africa (EI),,2005,0.2943336
Africa (EI),,2006,0.35644424
Africa (EI),,2007,0.3456951
Africa (EI),,2008,0.37789974
Africa (EI),,2009,0.5937582
Africa (EI),,2010,0.8238055
Africa (EI),,2011,1.1333025
Africa (EI),,2012,1.0127013
Africa (EI),,2013,1.3421129
Africa (EI),,2014,1.478777
Africa (EI),,2015,1.3343786
Africa (EI),,2016,1.2191871
Africa (EI),,2017,1.1253604
Africa (EI),,2018,0.8885908
