Location,Indicator,Period,Dim1,First Tooltip
Brazil,Concentrations of fine particulate matter (PM2.5),2011,Cities,34.35 [31.45-37.59]
Brazil,Concentrations of fine particulate matter (PM2.5),2010,Cities,33.69 [30.05-37.11]
Brazil,Concentrations of fine particulate matter (PM2.5),2014,Cities,33.18 [30.23-36.22]
Brazil,Concentrations of fine particulate matter (PM2.5),2012,Cities,32.96 [29.68-36.49]
Brazil,Concentrations of fine particulate matter (PM2.5),2011,Urban,31.60 [29.28-34.30]
Brazil,Concentrations of fine particulate matter (PM2.5),2010,Urban,31.18 [28.11-34.45]
Brazil,Concentrations of fine particulate matter (PM2.5),2014,Urban,30.64 [28.26-33.47]
Brazil,Concentrations of fine particulate matter (PM2.5),2013,Cities,30.62 [27.63-33.80]
Brazil,Concentrations of fine particulate matter (PM2.5),2012,Urban,30.55 [27.75-33.80]
Brazil,Concentrations of fine particulate matter (PM2.5),2015,Cities,30.51 [27.50-33.21]
Brazil,Concentrations of fine particulate matter (PM2.5),2011,Total,30.29 [27.96-32.83]
Brazil,Concentrations of fine particulate matter (PM2.5),2010,Total,29.91 [27.00-33.05]
Brazil,Concentrations of fine particulate matter (PM2.5),2012,Total,29.41 [26.61-32.52]
Brazil,Concentrations of fine particulate matter (PM2.5),2014,Total,29.37 [27.26-32.05]
Brazil,Concentrations of fine particulate matter (PM2.5),2016,Cities,28.95 [26.45-31.53]
Brazil,Concentrations of fine particulate matter (PM2.5),2015,Urban,28.36 [25.60-31.02]
Brazil,Concentrations of fine particulate matter (PM2.5),2013,Urban,28.28 [25.57-30.88]
Brazil,Concentrations of fine particulate matter (PM2.5),2017,Cities,27.88 [25.67-30.01]
Brazil,Concentrations of fine particulate matter (PM2.5),2015,Total,27.35 [24.88-29.94]
Brazil,Concentrations of fine particulate matter (PM2.5),2013,Total,27.14 [24.67-29.90]
Brazil,Concentrations of fine particulate matter (PM2.5),2016,Urban,26.96 [24.76-29.32]
Brazil,Concentrations of fine particulate matter (PM2.5),2011,Towns,26.49 [23.81-29.49]
