Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2023,Alabama,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",13,25,64.3,838.55,14,#,,,,*,,27.1,95.6,N,N,N,N
2023,Alabama,Abacavir,Abacavir Sulfate,44,364,378,79474.16,45,,160,172,35733.02,,20,165.75,2421.85,N,N,N,N
2023,Alabama,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,23,135,153,44676,22,,70,88,22481.36,#,,59.55,2760.11,N,N,N,N
2023,Alabama,Abilify,Aripiprazole,10,58,72,53531.77,,*,,,,*,,282,85,N,N,N,Y
2023,Alabama,Abilify Asimtufii,Aripiprazole,26,67,127.2,378604.45,38,,13,25.2,71848.45,*,,25,184.16,N,N,N,Y
2023,Alabama,Abilify Maintena,Aripiprazole,269,5722,5739.8,16037419.04,757,,853,859.4,2350947.71,,123,12166.75,33030.11,N,N,N,Y
2023,Alabama,Abiraterone Acetate,Abiraterone Acetate,159,2849,2899,9211999.94,459,,2715,2765,8909272.61,,436,3038.45,742177.01,N,N,N,N
2023,Alabama,Abraxane,Paclitaxel Protein-Bound,3,32,32,289391.8,,#,,,,*,,0,16785.3,N,N,N,N
2023,Alabama,Abrysvo,"Rsv Vacc, Pref A And Pref B/Pf",734,13169,13177,4270506.66,13156,,12639,12647,4097834.27,,12626,14.65,84.71,N,N,N,N
2023,Alabama,Acamprosate Calcium,Acamprosate Calcium,130,380,462.5,66638.22,139,,234,266,35766.26,,83,225.65,6408.97,N,N,N,N
2023,Alabama,Acarbose,Acarbose,377,3336,6904.5,209896.75,901,,2696,5587.9,165784.01,,714,1437.91,28723.13,N,N,N,N
2023,Alabama,Accutane,Isotretinoin,6,12,12,2542.22,,,12,12,2542.22,*,,0,738.83,N,N,N,N
