CustomerID,recency_days,last_purchase_date,frequency,Monetary,,,,,,,,
12346,325,1/18/2011 10:01,12,77556.5,,,,,,,,
12347,2,12/7/2011 15:52,8,4921.5,,,,,,,,
12348,75,9/25/2011 13:13,5,1817.8,,,,,Percentile,,,
12349,18,11/21/2011 9:51,4,4428.7,,,,,recency_days,frequency,Monetary,
12350,310,2/2/2011 16:01,1,334.4,,,,,19,1,284.22,
12351,375,11/29/2010 15:23,1,300.9,,,,,58,2,602.24,
12352,36,11/3/2011 14:37,10,2386,,,,,58,4,1212.86,
12353,204,5/19/2011 17:47,2,406.8,,,,,410,8,2887.74,
12354,232,4/21/2011 13:11,1,1079.4,,,,,,,,
12355,214,5/9/2011 13:49,2,947.6,,,,,,,,
12356,22,11/17/2011 8:40,6,6369.2,,,,,,,,
12357,33,11/6/2011 16:07,3,18287.7,,,,,,,,
12358,1,12/8/2011 10:26,5,3878.8,,,,,,,,
12359,57,10/13/2011 12:47,10,8758.6,,,,,,,,
12360,52,10/18/2011 15:22,8,4252.9,,,,,,,,
12361,287,2/25/2011 13:51,4,511.3,,,,,,,,
12362,3,12/6/2011 15:40,11,5356.2,,,,,,,,
12363,109,8/22/2011 10:18,2,552,,,,,,,,
12364,7,12/2/2011 10:22,4,1313.1,,,,,,,,
12365,291,2/21/2011 14:04,2,641.4,,,,,,,,
12366,633,3/16/2010 10:28,1,500.2,,,,,,,,
12367,4,12/5/2011 16:48,1,168.9,,,,,,,,
12368,628,3/21/2010 15:56,1,917.7,,,,,,,,
12369,413,10/22/2010 13:13,3,1791.2,,,,,,,,
12370,51,10/19/2011 14:51,7,4316.6,,,,,,,,
12371,44,10/26/2011 10:16,5,4067.4,,,,,,,,
12372,71,9/29/2011 12:12,3,1298,,,,,,,,
12373,311,2/1/2011 13:10,3,1127.7,,,,,,,,
12374,25,11/14/2011 15:37,4,2989.2,,,,,,,,
12375,10,11/29/2011 10:36,2,457.5,,,,,,,,
12376,389,11/15/2010 12:15,2,503.2,,,,,,,,
12377,315,1/28/2011 15:45,4,3426.3,,,,,,,,
12378,129,8/2/2011 10:34,2,5416.3,,,,,,,,
12379,81,9/19/2011 10:09,4,1620.2,,,,,,,,
12380,21,11/18/2011 11:27,11,9676.3,,,,,,,,
12381,4,12/5/2011 12:44,5,1845.3,,,,,,,,
12383,184,6/8/2011 8:02,5,1850.6,,,,,,,,
12384,28,11/11/2011 8:39,2,585.3,,,,,,,,
12385,379,11/25/2010 15:14,1,1938.4,,,,,,,,
12386,337,1/6/2011 12:37,2,401.9,,,,,,,,
12387,415,10/20/2010 16:27,1,143.9,,,,,,,,
12388,15,11/24/2011 12:30,8,3901.1,,,,,,,,
12389,402,11/2/2010 11:52,3,1433.3,,,,,,,,
12390,79,9/21/2011 9:33,1,549.8,,,,,,,,
12391,21,11/18/2011 12:07,6,2695.5,,,,,,,,
12392,591,4/27/2010 14:04,1,234.8,,,,,,,,
12393,72,9/28/2011 15:41,6,2366.3,,,,,,,,
12394,63,10/7/2011 8:08,2,1272.5,,,,,,,,
12395,19,11/20/2011 15:21,15,4721.2,,,,,,,,
12396,674,2/3/2010 13:22,1,931.4,,,,,,,,
12397,35,11/4/2011 9:52,2,2409.9,,,,,,,,
12398,45,10/25/2011 10:27,1,1635.7,,,,,,,,
12399,119,8/12/2011 13:15,7,1962.3,,,,,,,,
12400,414,10/21/2010 13:45,1,205.3,,,,,,,,
12401,303,2/9/2011 13:50,1,84.3,,,,,,,,
12402,323,1/20/2011 13:49,6,1256.9,,,,,,,,
12403,49,10/21/2011 10:51,2,1019.4,,,,,,,,
12404,682,1/26/2010 16:25,1,63.2,,,,,,,,
12405,148,7/14/2011 8:52,1,1710.4,,,,,,,,
12406,22,11/17/2011 19:22,5,6349.1,,,,,,,,
